               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10084,            0.033374,            0.064149,          0.00085734,             0.13675,          0.00071961,          0.00016421,            0.052614,            0.021601,            0.036732,              0.0874,              0.0014,              0.0014
                   1,            0.078452,            0.028263,             0.05744,           0.0030625,             0.63086,            0.014584,           0.0050008,            0.041133,            0.014992,            0.035553,            0.073804,           0.0028043,           0.0028043
                   2,            0.064524,            0.026904,             0.05611,             0.44727,              0.1099,            0.064762,            0.026696,            0.033952,            0.012635,            0.031438,             0.06011,           0.0041096,           0.0041096
                   3,            0.052951,            0.024402,            0.051767,             0.38154,            0.065801,            0.020643,           0.0080946,            0.031407,            0.010194,             0.03061,            0.046316,           0.0053159,           0.0053159
                   4,            0.050899,             0.02188,            0.046834,             0.63819,            0.080123,            0.060697,            0.025539,            0.030834,            0.010277,            0.029579,            0.032423,           0.0064232,           0.0064232
                   5,            0.052274,            0.021522,            0.050872,             0.38901,            0.042929,            0.043618,            0.017857,            0.035079,           0.0092623,              0.0329,            0.018431,           0.0074315,           0.0074315
                   6,            0.050556,            0.020844,            0.050156,              0.5765,            0.050938,            0.041322,            0.017535,            0.033671,           0.0090442,            0.031086,             0.00802,             0.00802,             0.00802
                   7,            0.048098,            0.021326,            0.044297,             0.49126,            0.024919,            0.032252,           0.0097815,            0.033712,           0.0086924,            0.032274,             0.00802,             0.00802,             0.00802
                   8,            0.048797,            0.020801,            0.046569,             0.67869,             0.10548,            0.097005,            0.032788,            0.029283,           0.0084259,            0.027385,             0.00769,             0.00769,             0.00769
                   9,            0.043194,             0.01939,            0.039431,             0.28797,             0.17998,             0.12021,            0.056025,            0.030387,           0.0086389,            0.025981,             0.00736,             0.00736,             0.00736
                  10,            0.045593,            0.019824,            0.039942,             0.49502,             0.19803,             0.17818,            0.087431,            0.025746,           0.0085658,            0.023063,             0.00703,             0.00703,             0.00703
                  11,            0.045799,            0.019804,            0.039315,             0.39459,             0.29932,             0.17574,            0.084369,            0.027576,             0.01016,            0.023174,              0.0067,              0.0067,              0.0067
                  12,            0.040401,            0.018711,            0.035831,             0.56653,             0.18758,             0.23061,             0.10988,            0.025787,           0.0083379,            0.021168,             0.00637,             0.00637,             0.00637
                  13,             0.03991,            0.019009,            0.035163,             0.73334,             0.19441,             0.27467,             0.14101,            0.025344,           0.0080454,            0.022034,             0.00604,             0.00604,             0.00604
                  14,            0.034944,            0.019159,             0.03263,             0.44333,             0.31172,             0.25041,             0.13379,            0.023275,           0.0077923,             0.02224,             0.00571,             0.00571,             0.00571
                  15,            0.044928,            0.018191,            0.034429,             0.38336,             0.32074,             0.28447,             0.15116,            0.023393,            0.007586,            0.023297,             0.00538,             0.00538,             0.00538
                  16,            0.035354,            0.016876,            0.026695,             0.43239,             0.37154,             0.27901,              0.1437,            0.021485,           0.0078502,            0.019465,             0.00505,             0.00505,             0.00505
                  17,            0.035634,            0.018361,             0.02703,             0.29729,             0.31859,             0.27695,              0.1274,            0.021273,           0.0073067,            0.017187,             0.00472,             0.00472,             0.00472
                  18,             0.03509,            0.017399,            0.031124,             0.31814,             0.35776,             0.28827,             0.15075,            0.020468,           0.0073207,            0.016954,             0.00439,             0.00439,             0.00439
                  19,            0.036877,            0.017272,            0.026562,             0.45508,             0.34028,             0.34057,             0.18915,            0.020636,           0.0069462,            0.017775,             0.00406,             0.00406,             0.00406
                  20,            0.027472,            0.016556,             0.02459,             0.42641,             0.41076,             0.37438,             0.20699,             0.01915,           0.0064984,            0.017415,             0.00373,             0.00373,             0.00373
                  21,            0.033563,            0.016922,            0.024974,             0.43307,             0.40549,             0.36903,             0.18759,            0.018809,           0.0064761,            0.016936,              0.0034,              0.0034,              0.0034
                  22,            0.033836,             0.01716,            0.023391,              0.4325,             0.45912,             0.40684,             0.24588,            0.019711,           0.0062404,            0.013098,             0.00307,             0.00307,             0.00307
                  23,            0.031283,            0.016521,            0.023038,             0.48467,             0.43533,             0.42342,             0.24143,            0.020378,              0.0064,            0.013277,             0.00274,             0.00274,             0.00274
                  24,            0.034883,             0.01645,            0.024644,             0.57684,             0.37464,             0.43478,             0.25623,            0.019275,           0.0062809,            0.012265,             0.00241,             0.00241,             0.00241
                  25,            0.029696,            0.016319,            0.023407,             0.45773,             0.50373,             0.46475,              0.2744,            0.016258,           0.0056148,             0.01185,             0.00208,             0.00208,             0.00208
                  26,            0.032336,            0.015642,            0.022311,             0.69502,             0.43904,             0.48085,             0.28063,            0.016287,           0.0053948,            0.011659,             0.00175,             0.00175,             0.00175
                  27,            0.031807,            0.015313,             0.02763,               0.534,             0.48082,             0.49253,             0.30411,             0.01632,           0.0053422,            0.010829,             0.00142,             0.00142,             0.00142
                  28,            0.028515,            0.014881,            0.022127,             0.52379,             0.50632,             0.48668,             0.30146,            0.017264,           0.0052697,            0.012138,             0.00109,             0.00109,             0.00109
                  29,            0.028703,            0.014694,            0.020386,             0.51492,             0.46635,             0.48136,              0.3114,            0.015637,           0.0051747,            0.010831,             0.00076,             0.00076,             0.00076
